_id,Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Percent positive tests in last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU with COVID-19,Number of patients in ICU on a ventilator with COVID-19,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths
173,2020-07-27T00:00:00,,,,1574,34461,2764,38799,2069621,24664,0.7,9249,82,30,18,5884,2527,1792,8
174,2020-07-28T00:00:00,,,,1575,34567,2768,38910,2086955,17334,0.7,12919,96,31,18,5885,2529,1793,8
175,2020-07-29T00:00:00,,,,1476,34741,2769,38986,2114263,27308,0.7,18268,91,28,17,5887,2537,1793,8
176,2020-07-30T00:00:00,,,,1397,34906,2772,39075,2141939,27676,0.6,28267,84,27,16,5889,2543,1793,8
177,2020-07-31T00:00:00,,,,1360,35074,2775,39209,2171972,30033,0.5,29215,78,29,15,5891,2556,1795,8
178,2020-08-01T00:00:00,,,,1319,35237,2777,39333,2205254,33282,0.6,26984,73,27,12,5893,2558,1797,8
179,2020-08-02T00:00:00,,,,1312,35359,2778,39449,2235697,30443,0.4,17839,72,26,14,5894,2555,1797,8
180,2020-08-03T00:00:00,,,,1274,35485,2778,39537,2258718,23021,0.5,12953,75,25,13,5895,2556,1797,8
181,2020-08-04T00:00:00,,,,1245,35601,2782,39628,2277887,19169,0.7,9285,78,28,15,5896,2557,1798,8
182,2020-08-05T00:00:00,,,,1185,35747,2782,39714,2295116,17229,0.6,16407,66,30,15,5896,2581,1798,8
183,2020-08-06T00:00:00,,,,1120,35906,2783,39809,2321297,26181,0.5,19292,71,29,13,5899,2593,1798,8
184,2020-08-07T00:00:00,,,,1090,36024,2783,39897,2346433,25136,0.6,25077,66,28,12,5901,2595,1799,8
185,2020-08-08T00:00:00,,,,1052,36131,2784,39967,2372441,26008,0.4,26273,53,27,12,5901,2601,1799,8
186,2020-08-09T00:00:00,,,,981,36279,2786,40046,2400212,27771,0.5,17540,55,26,12,5901,2605,1799,8
187,2020-08-10T00:00:00,,,,994,36381,2786,40161,2422487,22275,0.5,10865,49,25,14,5903,2605,1799,8
188,2020-08-11T00:00:00,,,,952,36456,2786,40194,2444068,21581,0.4,14677,60,21,12,5902,2608,1800,8
189,2020-08-12T00:00:00,,,,912,36590,2787,40289,2468640,24572,0.5,22054,49,20,10,5902,2611,1800,8
190,2020-08-13T00:00:00,,,,891,36689,2787,40367,2498266,29626,0.4,29049,43,20,10,5903,2617,1800,8
191,2020-08-14T00:00:00,,,,899,36772,2788,40459,2528403,30137,0.5,35426,41,17,9,5904,2618,1800,8
192,2020-08-15T00:00:00,,,,903,36873,2789,40565,2558839,30436,0.4,33852,39,17,10,5905,2614,1800,8
193,2020-08-16T00:00:00,,,,904,36953,2789,40646,2582652,23813,0.5,25847,37,18,9,5905,2616,1800,8
194,2020-08-17T00:00:00,,,,920,37036,2789,40745,2608219,25567,0.7,15076,32,16,10,5905,2617,1800,8
195,2020-08-18T00:00:00,,,,951,37126,2793,40870,2631286,23067,0.5,16128,41,15,10,5912,2622,1803,8
196,2020-08-19T00:00:00,,,,965,37215,2792,40972,2656928,25642,0.5,15490,42,15,10,5918,2626,1802,8
197,2020-08-20T00:00:00,,,,964,37291,2793,41048,2682845,25917,0.6,22104,35,15,8,5919,2628,1803,8
198,2020-08-21T00:00:00,,,,986,37397,2796,41179,2710918,28073,0.5,19941,35,13,7,5922,2636,1804,8
199,2020-08-22T00:00:00,,,,1003,37487,2797,41287,2739574,28656,0.4,17965,40,13,7,5923,2636,1804,8
200,2020-08-23T00:00:00,,,,1010,37595,2797,41402,2762958,23384,0.4,16115,41,11,6,5924,2638,1804,8
201,2020-08-24T00:00:00,,,,1036,37673,2798,41507,2781748,18790,0.6,9229,40,12,7,5924,2639,1804,8
202,2020-08-25T00:00:00,,,,1059,37748,2800,41607,2801761,20013,0.7,17259,39,13,10,5926,2639,1805,8
203,2020-08-26T00:00:00,,,,1030,37863,2802,41695,2823721,21960,0.6,20716,43,15,10,5927,2641,1805,8
204,2020-08-27T00:00:00,,,,1070,37940,2803,41813,2852346,28625,0.6,26179,48,18,10,5930,2640,1807,8
205,2020-08-28T00:00:00,,,,1103,38023,2809,41935,2884169,31823,0.6,30512,61,18,12,5932,2639,1814,8
206,2020-08-29T00:00:00,,,,1148,38126,2809,42083,2916275,32106,0.6,29491,51,17,5,5935,2637,1814,8
207,2020-08-30T00:00:00,,,,1181,38204,2810,42195,2941245,24970,0.6,23880,51,20,10,5936,2637,1814,8
208,2020-08-31T00:00:00,,,,1221,38277,2811,42309,2966343,25098,0.6,13542,49,18,9,5936,2638,1815,8
